Task,Prompt,Model,Response,Duration (s),GPU Utilization (%),GPU Power (W),VRAM Usage (MB),CPU Utilization (%),CPU Power (j)
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.8738055229187,49.0,71.64,11853.0,3.2,182430.472124
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.45635461807251,94.0,68.64,11983.0,2.9,184400.166789
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",10.03606367111206,0.0,54.3,11943.0,3.1,184951.721163
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.791090726852415,96.0,81.43,11825.0,2.6,186062.698177
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.11971640586853,98.0,67.0,11907.0,3.2,188007.246544
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",11.517942905426024,97.0,62.32,11907.0,3.2,188522.727402
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,16.185439586639404,96.0,72.64,11825.0,2.9,189816.96298
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.091060161590576,92.0,79.94,11907.0,2.7,191774.700766
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.815327167510986,88.0,65.38,11907.0,3.1,192292.446755
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,16.033069610595703,96.0,75.3,11825.0,2.7,193371.675987
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.167316913604736,20.0,70.59,11907.0,3.1,195318.936017
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.948744535446169,88.0,75.51,11907.0,2.5,195843.764324
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.657952785491943,96.0,74.11,11825.0,3.1,196945.906156
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",5.947420835494995,93.0,80.44,11907.0,2.7,198872.034526
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",11.624231100082396,44.0,66.55,11907.0,3.1,199386.969365
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,16.47794818878174,70.0,68.28,11825.0,3.1,200678.247675
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.169180870056152,93.0,67.32,11907.0,3.1,202687.534402
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.997900009155272,100.0,59.05,11907.0,3.1,203226.852784
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.812482595443726,97.0,56.94,11825.0,3.1,204339.674948
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.002741813659668,85.0,68.79,11907.0,3.0,206297.948194
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.88988757133484,100.0,57.24,11907.0,3.1,206832.591417
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,17.664489269256592,93.0,74.92,11825.0,2.7,207929.236315
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.3156328201293945,20.0,71.98,11907.0,3.2,210132.331017
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",10.079097986221312,91.0,70.99,11907.0,3.2,210678.315276
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.72331714630127,100.0,60.19,11825.0,3.1,211776.837549
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",5.980254173278809,89.0,71.73,11907.0,2.7,213696.760857
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.996074199676514,100.0,54.86,11907.0,3.1,214225.12248
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,16.11722445487976,100.0,58.15,11825.0,3.1,215333.056961
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.243659257888794,86.0,70.7,11907.0,2.9,217327.310217
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.83826494216919,99.0,57.37,11907.0,3.1,217875.186561
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.878695726394652,100.0,57.85,11825.0,3.1,218939.154052
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.191514730453491,88.0,79.08,11907.0,2.3,220908.788781
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",11.787299156188965,100.0,64.25,11907.0,3.2,221449.624554
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,16.37871217727661,100.0,56.42,11825.0,3.1,222779.902033
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.098514795303345,90.0,72.52,11907.0,4.1,224758.748407
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.985243320465088,100.0,57.37,11907.0,3.1,225300.316723
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.961089611053469,69.0,67.57,11825.0,3.1,226390.488981
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.1091039180755615,92.0,67.88,11907.0,3.0,228371.182885
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.811908721923828,96.0,57.44,11907.0,3.2,228910.807358
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,18.46170425415039,100.0,65.57,11825.0,3.1,229988.427341
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",7.247132062911987,88.0,79.5,11907.0,2.7,232309.055494
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",10.09073567390442,89.0,73.86,11907.0,2.6,232920.089514
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,16.297345876693726,96.0,68.48,11825.0,3.1,234040.111305
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.0650084018707275,92.0,80.5,11907.0,2.6,236045.663482
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.847126483917236,87.0,72.8,11907.0,2.4,236574.252644
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.842672109603882,96.0,67.4,11825.0,2.9,237652.895696
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.021585702896118,90.0,80.44,11907.0,2.5,239609.441774
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",11.750895500183104,100.0,61.76,11907.0,3.1,240128.056291
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,16.496304512023926,96.0,58.31,11825.0,3.1,241466.802253
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.108331203460693,93.0,70.04,11907.0,2.5,243480.072001
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.90233874320984,100.0,62.4,11907.0,3.1,244006.844029
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.883573770523071,47.0,68.1,11825.0,3.1,245114.023324
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",5.9893553256988525,100.0,61.63,11907.0,3.1,247099.673148
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",12.02492642402649,92.0,79.14,11907.0,2.6,247617.918342
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,16.037463665008545,95.0,77.59,11825.0,3.1,248873.96719
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.0861101150512695,100.0,51.37,11907.0,3.1,250845.724837
classification,Classify the sentiment of the following text: 'I love this product!',mistralai/Mistral-7B-Instruct-v0.3,"Classify the sentiment of the following text: 'I love this product!'

The sentiment",9.84507703781128,92.0,79.48,11907.0,2.5,251361.166694
classification,Classify the sentiment of the following text: 'I love this product!',Qwen/Qwen2.5-7B,Classify the sentiment of the following text: 'I love this product!' The sentiment of the text 'I love this product!' is positive.,15.781255960464478,92.0,77.75,11825.0,2.0,252446.024085
classification,Classify the sentiment of the following text: 'I love this product!',google/gemma-2-2b-it,"Classify the sentiment of the following text: 'I love this product!'

The sentiment of the",6.003754138946533,91.0,78.53,11907.0,2.7,254376.130289
